Supplementary Table 1								
	k	k_1	k_2	alpha	D_KS	D_KL	D'_KL	
huncle	0	1	2	1.03	0.000516	0.0009	0.0031	half-sib
child	1	1	1	0.973	0.001042	0.0011	0.0051	k=1 is grandchild
child	2	2	2	1.036	0.001633	0.0011	0.0027	k=1 is grandchild
child	3	3	3	1.131	0.002552	0.0011	0.0019	k=1 is grandchild
child	4	4	4	1.224	0.002559	0.001	0.0016	k=1 is grandchild
child	5	5	5	1.288	0.002133	-0.0002	0.0022	k=1 is grandchild
child	6	6	6	1.334	0.003302	-0.002	0.011	k=1 is grandchild
child	7	7	7	1.38	0.002719	0.0039	0.0293	k=1 is grandchild
child	8	8	8	1.369	0.002186	0.0004	0.046	k=1 is grandchild
child	9	9	9	1.36	0.002974	-0.0027	0.0562	k=1 is grandchild
child	10	10	10	1.354	0.003193	-0.0041	0.0611	k=1 is grandchild
child	11	11	11	1.356	0.001462	0.0036	0.0661	k=1 is grandchild
uncle	1	1	2.5	1.055	0.00114	0.0009	0.0029	k=1 is nephew
uncle	2	2	3.5	1.199	0.00343	0.0011	0.0022	k=1 is nephew
uncle	3	3	4.5	1.311	0.003634	0.0012	0.0018	k=1 is nephew
uncle	4	4	5.5	1.381	0.002986	0.001	0.0014	k=1 is nephew
uncle	5	5	6.5	1.419	0.002889	0.0002	0.0014	k=1 is nephew
uncle	6	6	7.5	1.439	0.002995	-0.001	0.0074	k=1 is nephew
uncle	7	7	8.5	1.467	0.002032	0.0038	0.0257	k=1 is nephew
uncle	8	8	9.5	1.429	0.002343	-0.0022	0.0441	k=1 is nephew
uncle	9	9	10.5	1.407	0.003341	-0.0053	0.0555	k=1 is nephew
uncle	10	10	11.5	1.387	0.003757	-0.0079	0.063	k=1 is nephew
uncle	11	11	12.5	1.383	0.002347	-0.0047	0.0674	k=1 is nephew
huncle	1	2	2.5	1.018	0.001134	0.0009	0.0022	k=1 is half nephew
huncle	2	3	3.5	1.116	0.002353	0.0012	0.0019	k=1 is half nephew
huncle	3	4	4.5	1.192	0.002569	0.0011	0.0016	k=1 is half nephew
huncle	4	5	5.5	1.249	0.002213	0.0001	0.0017	k=1 is half nephew
huncle	5	6	6.5	1.283	0.002406	-0.0029	0.0082	k=1 is half nephew
huncle	6	7	7.5	1.337	0.002354	0.0028	0.0264	k=1 is half nephew
huncle	7	8	8.5	1.321	0.00219	-0.0019	0.0444	k=1 is half nephew
